dataset,models,bits,value
kmnist,shufflenet,8,0.9449999928474426
kmnist,shufflenet,8,0.9441999793052672
kmnist,shufflenet,8,0.9398000240325928
kmnist,shufflenet,6,0.9416000247001648
kmnist,shufflenet,6,0.9437999725341796
kmnist,shufflenet,6,0.9351999759674072
kmnist,shufflenet,4,0.8478000164031982
kmnist,shufflenet,4,0.7268000245094299
kmnist,shufflenet,4,0.6373999714851379
kmnist,resnet,8,0.9634000062942504
kmnist,resnet,8,0.9634000062942504
kmnist,resnet,8,0.963800013065338
kmnist,resnet,6,0.963599979877472
kmnist,resnet,6,0.9634000062942504
kmnist,resnet,6,0.9603999853134156
kmnist,resnet,4,0.958199977874756
kmnist,resnet,4,0.9607999920845032
kmnist,resnet,4,0.9472000002861024
kmnist,mobilenet,8,0.9562000036239624
kmnist,mobilenet,8,0.9563999772071838
kmnist,mobilenet,8,0.9557999968528748
kmnist,mobilenet,6,0.9557999968528748
kmnist,mobilenet,6,0.9559999704360962
kmnist,mobilenet,6,0.9545999765396118
kmnist,mobilenet,4,0.9545999765396118
kmnist,mobilenet,4,0.9495999813079834
kmnist,mobilenet,4,0.9083999991416932
mnist,shufflenet,8,0.9652000069618224
mnist,shufflenet,8,0.9643999934196472
mnist,shufflenet,8,0.9617999792099
mnist,shufflenet,6,0.967199981212616
mnist,shufflenet,6,0.9628000259399414
mnist,shufflenet,6,0.9485999941825868
mnist,shufflenet,4,0.9664000272750854
mnist,shufflenet,4,0.9575999975204468
mnist,shufflenet,4,0.8446000218391418
mnist,resnet,8,0.9832000136375428
mnist,resnet,8,0.9829999804496764
mnist,resnet,8,0.9825999736785888
mnist,resnet,6,0.9832000136375428
mnist,resnet,6,0.9819999933242798
mnist,resnet,6,0.9818000197410583
mnist,resnet,4,0.9753999710083008
mnist,resnet,4,0.981599986553192
mnist,resnet,4,0.9682000279426576
mnist,mobilenet,8,0.9753999710083008
mnist,mobilenet,8,0.9753999710083008
mnist,mobilenet,8,0.976199984550476
mnist,mobilenet,6,0.9760000109672546
mnist,mobilenet,6,0.9760000109672546
mnist,mobilenet,6,0.9729999899864196
mnist,mobilenet,4,0.9710000157356262
mnist,mobilenet,4,0.9666000008583068
mnist,mobilenet,4,0.2477999925613403
fashionmnist,shufflenet,8,0.8690000176429749
fashionmnist,shufflenet,8,0.8686000108718872
fashionmnist,shufflenet,8,0.8579999804496765
fashionmnist,shufflenet,6,0.8644000291824341
fashionmnist,shufflenet,6,0.8722000122070312
fashionmnist,shufflenet,6,0.4393999874591827
fashionmnist,shufflenet,4,0.8492000102996826
fashionmnist,shufflenet,4,0.8478000164031982
fashionmnist,shufflenet,4,0.6615999937057495
fashionmnist,resnet,8,0.879800021648407
fashionmnist,resnet,8,0.8799999952316284
fashionmnist,resnet,8,0.8802000284194946
fashionmnist,resnet,6,0.8827999830245972
fashionmnist,resnet,6,0.8795999884605408
fashionmnist,resnet,6,0.8758000135421753
fashionmnist,resnet,4,0.878600001335144
fashionmnist,resnet,4,0.8709999918937683
fashionmnist,resnet,4,0.8116000294685364
fashionmnist,mobilenet,8,0.8776000142097473
fashionmnist,mobilenet,8,0.878000020980835
fashionmnist,mobilenet,8,0.8694000244140625
fashionmnist,mobilenet,6,0.875
fashionmnist,mobilenet,6,0.8759999871253967
fashionmnist,mobilenet,6,0.7685999870300293
fashionmnist,mobilenet,4,0.8277999758720398
fashionmnist,mobilenet,4,0.8159999847412109
fashionmnist,mobilenet,4,0.1982000023126602
kmnist,mobilenet,4,0.9548
kmnist,mobilenet,6,0.9556
kmnist,mobilenet,8,0.9562
kmnist,resnet,4,0.9584
kmnist,resnet,6,0.9638
kmnist,resnet,8,0.9634
kmnist,shufflenet,4,0.8998
kmnist,shufflenet,6,0.9416
kmnist,shufflenet,8,0.945
mnist,mobilenet,4,0.971
mnist,mobilenet,6,0.9758
mnist,mobilenet,8,0.9756
mnist,resnet,4,0.9758
mnist,resnet,6,0.9832
mnist,resnet,8,0.9836
mnist,shufflenet,4,0.9664
mnist,shufflenet,6,0.9672
mnist,shufflenet,8,0.965
fashionmnist,mobilenet,4,0.8282
fashionmnist,mobilenet,6,0.8752
fashionmnist,mobilenet,8,0.8776
fashionmnist,resnet,4,0.886
fashionmnist,resnet,6,0.8824
fashionmnist,resnet,8,0.88
fashionmnist,shufflenet,4,0.8496
fashionmnist,shufflenet,6,0.8642
fashionmnist,shufflenet,8,0.869
